Run,Pod Count,Workflow,Scheduler,Start Time,End Time,Duration(sec),Duration(human),Duration(min)
synthetic-blast-500-4c7rz,498,Blast,rank-fair,1767963023,1767963578,555,9m 15s,9.25
synthetic-blast-500-6hjwd,498,Blast,rank-fair,1767959448,1767960028,580,9m 40s,9.666666666666666
synthetic-blast-500-kqp74,498,Blast,rank-fair,1767962176,1767962733,557,9m 17s,9.283333333333333
synthetic-blast-500-l8rvg,498,Blast,rank-fair,1767961243,1767961786,543,9m 3s,9.05
synthetic-blast-500-xwc5x,498,Blast,rank-fair,1767960378,1767960935,557,9m 17s,9.283333333333333
synthetic-blast-500-bwfjq,498,Blast,rank-random,1768022517,1768023093,576,9m 36s,9.6
synthetic-blast-500-k6lzf,498,Blast,rank-random,1768020143,1768020760,617,10m 17s,10.283333333333333
synthetic-blast-500-mqbh2,498,Blast,rank-random,1768023314,1768023938,624,10m 24s,10.4
synthetic-blast-500-pjz6m,498,Blast,rank-random,1768020981,1768021528,547,9m 7s,9.116666666666667
synthetic-blast-500-tpcw2,498,Blast,rank-random,1768021755,1768022299,544,9m 4s,9.066666666666666
synthetic-blast-500-7rbs5,498,Blast,rank-roundrobin,1767996418,1767996985,567,9m 27s,9.45
synthetic-blast-500-hf57t,498,Blast,rank-roundrobin,1767994870,1767995434,564,9m 24s,9.4
synthetic-blast-500-j8p5j,498,Blast,rank-roundrobin,1767994062,1767994632,570,9m 30s,9.5
synthetic-blast-500-qxhvd,498,Blast,rank-roundrobin,1767993266,1767993835,569,9m 29s,9.483333333333333
synthetic-blast-500-tqpw5,498,Blast,rank-roundrobin,1767995653,1767996209,556,9m 16s,9.266666666666667
synthetic-blast-500-4szmk,498,Blast,vanilla,1767928057,1767928673,616,10m 16s,10.266666666666667
synthetic-blast-500-hbkdz,498,Blast,vanilla,1767925544,1767926165,621,10m 21s,10.35
synthetic-blast-500-mjkn9,498,Blast,vanilla,1767928903,1767929534,631,10m 31s,10.516666666666667
synthetic-blast-500-qt6x5,498,Blast,vanilla,1767927183,1767927793,610,10m 10s,10.166666666666666
synthetic-blast-500-zgf77,498,Blast,vanilla,1768052258,1768052873,615,10m 15s,10.25
synthetic-bwa-500-48fgh,498,Bwa,rank-fair,1768052913,1768053522,609,10m 9s,10.15
synthetic-bwa-500-5vqzg,498,Bwa,rank-fair,1767964901,1767965495,594,9m 54s,9.9
synthetic-bwa-500-c9885,498,Bwa,rank-fair,1767963622,1767964205,583,9m 43s,9.716666666666667
synthetic-bwa-500-cxcnn,498,Bwa,rank-fair,1767965536,1767966122,586,9m 46s,9.766666666666667
synthetic-bwa-500-v7s9x,498,Bwa,rank-fair,1767966173,1767966757,584,9m 44s,9.733333333333333
synthetic-bwa-500-8d6mh,498,Bwa,rank-random,1768024654,1768025244,590,9m 50s,9.833333333333334
synthetic-bwa-500-jn28p,498,Bwa,rank-random,1768023987,1768024609,622,10m 22s,10.366666666666667
synthetic-bwa-500-kqhjz,498,Bwa,rank-random,1768026578,1768027191,613,10m 13s,10.216666666666667
synthetic-bwa-500-r6948,498,Bwa,rank-random,1768025286,1768025889,603,10m 3s,10.05
synthetic-bwa-500-xhxmz,498,Bwa,rank-random,1768025933,1768026536,603,10m 3s,10.05
synthetic-bwa-500-2jt9z,498,Bwa,rank-roundrobin,1767997684,1767998293,609,10m 9s,10.15
synthetic-bwa-500-gt2tk,498,Bwa,rank-roundrobin,1767999628,1768000221,593,9m 53s,9.883333333333333
synthetic-bwa-500-mcsjl,498,Bwa,rank-roundrobin,1767998993,1767999587,594,9m 54s,9.9
synthetic-bwa-500-rnnxn,498,Bwa,rank-roundrobin,1767998338,1767998953,615,10m 15s,10.25
synthetic-bwa-500-s4fgp,498,Bwa,rank-roundrobin,1767997028,1767997636,608,10m 8s,10.133333333333333
synthetic-bwa-500-b7w75,498,Bwa,vanilla,1768053568,1768054165,597,9m 57s,9.95
synthetic-bwa-500-d77dt,498,Bwa,vanilla,1767929576,1767930215,639,10m 39s,10.65
synthetic-bwa-500-gr2sv,498,Bwa,vanilla,1767930897,1767931515,618,10m 18s,10.3
synthetic-bwa-500-qd7qv,498,Bwa,vanilla,1767931563,1767932174,611,10m 11s,10.183333333333334
synthetic-bwa-500-s2gmb,498,Bwa,vanilla,1767918718,1767919352,634,10m 34s,10.566666666666666
synthetic-cycles-500-45rb2,497,Cycles,rank-fair,1767968398,1767969002,604,10m 4s,10.066666666666666
synthetic-cycles-500-7bx9c,497,Cycles,rank-fair,1767966892,1767967512,620,10m 20s,10.333333333333334
synthetic-cycles-500-fjqwk,497,Cycles,rank-fair,1767969119,1767969766,647,10m 47s,10.783333333333333
synthetic-cycles-500-kjn5j,497,Cycles,rank-fair,1767967632,1767968285,653,10m 53s,10.883333333333333
synthetic-cycles-500-p788h,497,Cycles,rank-fair,1767969880,1767970514,634,10m 34s,10.566666666666666
synthetic-cycles-500-7cx84,497,Cycles,rank-random,1768028746,1768029393,647,10m 47s,10.783333333333333
synthetic-cycles-500-hmnb6,497,Cycles,rank-random,1768028008,1768028645,637,10m 37s,10.616666666666667
synthetic-cycles-500-j9xsf,497,Cycles,rank-random,1768027291,1768027905,614,10m 14s,10.233333333333333
synthetic-cycles-500-jw8fk,497,Cycles,rank-random,1768029491,1768030114,623,10m 23s,10.383333333333333
synthetic-cycles-500-tnmd8,497,Cycles,rank-random,1768030215,1768030806,591,9m 51s,9.85
synthetic-cycles-500-6tcml,497,Cycles,rank-roundrobin,1768054271,1768054871,600,10m 0s,10.0
synthetic-cycles-500-bbnrw,497,Cycles,rank-roundrobin,1768001822,1768002452,630,10m 30s,10.5
synthetic-cycles-500-d87js,497,Cycles,rank-roundrobin,1768001080,1768001726,646,10m 46s,10.766666666666667
synthetic-cycles-500-j6cvn,497,Cycles,rank-roundrobin,1768000316,1768000974,658,10m 58s,10.966666666666667
synthetic-cycles-500-jbdzz,497,Cycles,rank-roundrobin,1768003412,1768004043,631,10m 31s,10.516666666666667
synthetic-cycles-500-5m94c,497,Cycles,vanilla,1767919451,1767920087,636,10m 36s,10.6
synthetic-cycles-500-7bjls,497,Cycles,vanilla,1767932984,1767933622,638,10m 38s,10.633333333333333
synthetic-cycles-500-pg8dl,497,Cycles,vanilla,1767933716,1767934400,684,11m 24s,11.4
synthetic-cycles-500-vkrjm,497,Cycles,vanilla,1767934501,1767935116,615,10m 15s,10.25
synthetic-cycles-500-xt28j,497,Cycles,vanilla,1767932278,1767932884,606,10m 6s,10.1
synthetic-genome-500-826w7,498,Genome,rank-fair,1767971551,1767972101,550,9m 10s,9.166666666666666
synthetic-genome-500-8t5jx,498,Genome,rank-fair,1767970742,1767971317,575,9m 35s,9.583333333333334
synthetic-genome-500-lp576,498,Genome,rank-fair,1767973111,1767973682,571,9m 31s,9.516666666666667
synthetic-genome-500-q8dc5,498,Genome,rank-fair,1767973941,1767974525,584,9m 44s,9.733333333333333
synthetic-genome-500-t7bdv,498,Genome,rank-fair,1767972353,1767972937,584,9m 44s,9.733333333333333
synthetic-genome-500-b46bq,498,Genome,rank-random,1768032469,1768033057,588,9m 48s,9.8
synthetic-genome-500-g8tkc,498,Genome,rank-random,1768030976,1768031573,597,9m 57s,9.95
synthetic-genome-500-rk58c,498,Genome,rank-random,1768033970,1768034530,560,9m 20s,9.333333333333334
synthetic-genome-500-thh5t,498,Genome,rank-random,1768033225,1768033803,578,9m 38s,9.633333333333333
synthetic-genome-500-wqsnp,498,Genome,rank-random,1768031743,1768032310,567,9m 27s,9.45
synthetic-genome-500-2qzt7,498,Genome,rank-roundrobin,1768006392,1768006961,569,9m 29s,9.483333333333333
synthetic-genome-500-vjlkl,498,Genome,rank-roundrobin,1768007118,1768007697,579,9m 39s,9.65
synthetic-genome-500-vqfq5,498,Genome,rank-roundrobin,1768004928,1768005514,586,9m 46s,9.766666666666667
synthetic-genome-500-xvmkm,498,Genome,rank-roundrobin,1768005672,1768006231,559,9m 19s,9.316666666666666
synthetic-genome-500-z84rl,498,Genome,rank-roundrobin,1768004196,1768004765,569,9m 29s,9.483333333333333
synthetic-genome-500-4fxrf,498,Genome,vanilla,1767937854,1767938605,751,12m 31s,12.516666666666667
synthetic-genome-500-kz7ng,498,Genome,vanilla,1767936141,1767936829,688,11m 28s,11.466666666666667
synthetic-genome-500-tfm2j,498,Genome,vanilla,1767935253,1767935996,743,12m 23s,12.383333333333333
synthetic-genome-500-w8lfp,498,Genome,vanilla,1767936995,1767937712,717,11m 57s,11.95
synthetic-genome-500-xjr6k,498,Genome,vanilla,1767920320,1767921040,720,12m 0s,12.0
synthetic-montage-500-7p6s8,495,Montage,rank-fair,1767975358,1767976177,819,13m 39s,13.65
synthetic-montage-500-ktjrz,495,Montage,rank-fair,1767974585,1767975308,723,12m 3s,12.05
synthetic-montage-500-lf6h6,495,Montage,rank-fair,1767977929,1767978718,789,13m 9s,13.15
synthetic-montage-500-rpp87,495,Montage,rank-fair,1767976250,1767977007,757,12m 37s,12.616666666666667
synthetic-montage-500-vcxvr,495,Montage,rank-fair,1767977075,1767977860,785,13m 5s,13.083333333333334
synthetic-montage-500-7hx2q,495,Montage,rank-random,1768037103,1768037834,731,12m 11s,12.183333333333334
synthetic-montage-500-bclqr,495,Montage,rank-random,1768037893,1768038675,782,13m 2s,13.033333333333333
synthetic-montage-500-cr2z2,495,Montage,rank-random,1768034597,1768035368,771,12m 51s,12.85
synthetic-montage-500-rxp2c,495,Montage,rank-random,1768035432,1768036217,785,13m 5s,13.083333333333334
synthetic-montage-500-z6sc6,495,Montage,rank-random,1768036284,1768037048,764,12m 44s,12.733333333333333
synthetic-montage-500-54psb,495,Montage,rank-roundrobin,1768011078,1768011842,764,12m 44s,12.733333333333333
synthetic-montage-500-m5pwr,495,Montage,rank-roundrobin,1768009422,1768010211,789,13m 9s,13.15
synthetic-montage-500-mjc94,495,Montage,rank-roundrobin,1768007756,1768008515,759,12m 39s,12.65
synthetic-montage-500-nd6ln,495,Montage,rank-roundrobin,1768008581,1768009361,780,13m 0s,13.0
synthetic-montage-500-xvqdf,495,Montage,rank-roundrobin,1768010260,1768011024,764,12m 44s,12.733333333333333
synthetic-montage-500-dz4w2,495,Montage,vanilla,1767941021,1767941755,734,12m 14s,12.233333333333333
synthetic-montage-500-fjmcs,495,Montage,vanilla,1767939446,1767940164,718,11m 58s,11.966666666666667
synthetic-montage-500-hkb7h,495,Montage,vanilla,1767940225,1767940971,746,12m 26s,12.433333333333334
synthetic-montage-500-n7nlm,495,Montage,vanilla,1767938662,1767939395,733,12m 13s,12.216666666666667
synthetic-montage-500-xhrb4,495,Montage,vanilla,1767921105,1767921808,703,11m 43s,11.716666666666667
synthetic-seismology-500-hrtvh,498,Seismology,rank-fair,1767980694,1767981246,552,9m 12s,9.2
synthetic-seismology-500-kc8kl,498,Seismology,rank-fair,1767980062,1767980619,557,9m 17s,9.283333333333333
synthetic-seismology-500-psvwt,498,Seismology,rank-fair,1767981317,1767981854,537,8m 57s,8.95
synthetic-seismology-500-t98j6,498,Seismology,rank-fair,1767978792,1767979346,554,9m 14s,9.233333333333333
synthetic-seismology-500-z5ckn,498,Seismology,rank-fair,1767979426,1767979982,556,9m 16s,9.266666666666667
synthetic-seismology-500-786xv,498,Seismology,rank-random,1768038742,1768039299,557,9m 17s,9.283333333333333
synthetic-seismology-500-dhz8h,498,Seismology,rank-random,1768040646,1768041198,552,9m 12s,9.2
synthetic-seismology-500-pq6sm,498,Seismology,rank-random,1768041271,1768041832,561,9m 21s,9.35
synthetic-seismology-500-twgwj,498,Seismology,rank-random,1768040013,1768040570,557,9m 17s,9.283333333333333
synthetic-seismology-500-zm888,498,Seismology,rank-random,1768039378,1768039934,556,9m 16s,9.266666666666667
synthetic-seismology-500-dkgrc,498,Seismology,rank-roundrobin,1768011920,1768012483,563,9m 23s,9.383333333333333
synthetic-seismology-500-m9pht,498,Seismology,rank-roundrobin,1768014505,1768015113,608,10m 8s,10.133333333333333
synthetic-seismology-500-n77hs,498,Seismology,rank-roundrobin,1768013871,1768014426,555,9m 15s,9.25
synthetic-seismology-500-p5skw,498,Seismology,rank-roundrobin,1768012566,1768013180,614,10m 14s,10.233333333333333
synthetic-seismology-500-pnjbl,498,Seismology,rank-roundrobin,1768013244,1768013797,553,9m 13s,9.216666666666667
synthetic-seismology-500-btcn7,498,Seismology,vanilla,1767941796,1767942484,688,11m 28s,11.466666666666667
synthetic-seismology-500-c54jw,498,Seismology,vanilla,1767942535,1767943156,621,10m 21s,10.35
synthetic-seismology-500-kmjdz,498,Seismology,vanilla,1767943949,1767944604,655,10m 55s,10.916666666666666
synthetic-seismology-500-mn89s,498,Seismology,vanilla,1767921847,1767922513,666,11m 6s,11.1
synthetic-seismology-500-nzxhh,498,Seismology,vanilla,1767943203,1767943902,699,11m 39s,11.65
synthetic-soykb-500-6w8l2,496,Soykb,rank-fair,1767984844,1767985675,831,13m 51s,13.85
synthetic-soykb-500-8fg4q,496,Soykb,rank-fair,1767981948,1767982800,852,14m 12s,14.2
synthetic-soykb-500-fnp4r,496,Soykb,rank-fair,1767982892,1767983768,876,14m 36s,14.6
synthetic-soykb-500-jhw78,496,Soykb,rank-fair,1767985766,1767986587,821,13m 41s,13.683333333333334
synthetic-soykb-500-v8v84,496,Soykb,rank-fair,1767983854,1767984753,899,14m 59s,14.983333333333333
synthetic-soykb-500-dtf86,496,Soykb,rank-random,1768045841,1768046727,886,14m 46s,14.766666666666667
synthetic-soykb-500-jz6j6,496,Soykb,rank-random,1768042906,1768043825,919,15m 19s,15.316666666666666
synthetic-soykb-500-kbbhp,496,Soykb,rank-random,1768043908,1768044811,903,15m 3s,15.05
synthetic-soykb-500-qg454,496,Soykb,rank-random,1768044900,1768045761,861,14m 21s,14.35
synthetic-soykb-500-t5v4z,496,Soykb,rank-random,1768041921,1768042811,890,14m 50s,14.833333333333334
synthetic-soykb-500-2pz9r,496,Soykb,rank-roundrobin,1768017094,1768017962,868,14m 28s,14.466666666666667
synthetic-soykb-500-8c8c2,496,Soykb,rank-roundrobin,1768016178,1768017000,822,13m 42s,13.7
synthetic-soykb-500-fhllk,496,Soykb,rank-roundrobin,1768019049,1768019905,856,14m 16s,14.266666666666667
synthetic-soykb-500-gsvkb,496,Soykb,rank-roundrobin,1768015198,1768016084,886,14m 46s,14.766666666666667
synthetic-soykb-500-vpldn,496,Soykb,rank-roundrobin,1768018056,1768018955,899,14m 59s,14.983333333333333
synthetic-soykb-500-8g74m,496,Soykb,vanilla,1767944700,1767945517,817,13m 37s,13.616666666666667
synthetic-soykb-500-j4qvh,496,Soykb,vanilla,1767922613,1767923405,792,13m 12s,13.2
synthetic-soykb-500-k8vjh,496,Soykb,vanilla,1767946498,1767947309,811,13m 31s,13.516666666666667
synthetic-soykb-500-kt4tl,496,Soykb,vanilla,1767945612,1767946417,805,13m 25s,13.416666666666666
synthetic-soykb-500-l5wsx,496,Soykb,vanilla,1767947406,1767948241,835,13m 55s,13.916666666666666
synthetic-blast-500-9bn4g,498,Blast,fifo-fair,1768324007,1768324555,548,9m 8s,9.133333333333333
synthetic-blast-500-j56v4,498,Blast,fifo-fair,1768305158,1768305722,564,9m 24s,9.4
synthetic-blast-500-jlsl2,498,Blast,fifo-fair,1768322764,1768323328,564,9m 24s,9.4
synthetic-blast-500-vhrwg,498,Blast,fifo-fair,1768323385,1768323943,558,9m 18s,9.3
synthetic-blast-500-zvtkl,498,Blast,fifo-fair,1768304545,1768305103,558,9m 18s,9.3
synthetic-blast-500-8c57v,498,Blast,fifo-random,1768237916,1768238514,598,9m 58s,9.966666666666667
synthetic-blast-500-frchp,498,Blast,fifo-random,1768239724,1768240275,551,9m 11s,9.183333333333334
synthetic-blast-500-kzcpj,498,Blast,fifo-random,1768238553,1768239092,539,8m 59s,8.983333333333333
synthetic-blast-500-md4hp,498,Blast,fifo-random,1768239138,1768239678,540,9m 0s,9.0
synthetic-blast-500-mvwb7,498,Blast,fifo-random,1768237331,1768237871,540,9m 0s,9.0
synthetic-blast-500-6tcpt,498,Blast,fifo-roundrobin,1768278284,1768278844,560,9m 20s,9.333333333333334
synthetic-blast-500-767gm,498,Blast,fifo-roundrobin,1768277662,1768278221,559,9m 19s,9.316666666666666
synthetic-blast-500-7k7jb,498,Blast,fifo-roundrobin,1768280125,1768280683,558,9m 18s,9.3
synthetic-blast-500-mtsdm,498,Blast,fifo-roundrobin,1768279525,1768280072,547,9m 7s,9.116666666666667
synthetic-blast-500-xzqtj,498,Blast,fifo-roundrobin,1768278905,1768279466,561,9m 21s,9.35
synthetic-blast-500-7rdnn,498,Blast,random-fair,1768473301,1768473868,567,9m 27s,9.45
synthetic-blast-500-cbf2w,498,Blast,random-fair,1768473923,1768474486,563,9m 23s,9.383333333333333
synthetic-blast-500-crhj8,498,Blast,random-fair,1768475167,1768475738,571,9m 31s,9.516666666666667
synthetic-blast-500-g27zt,498,Blast,random-fair,1768474544,1768475099,555,9m 15s,9.25
synthetic-blast-500-p9l6c,498,Blast,random-fair,1768475808,1768476380,572,9m 32s,9.533333333333333
synthetic-blast-500-4h7sp,498,Blast,random-random,1768422977,1768423541,564,9m 24s,9.4
synthetic-blast-500-dhpvn,498,Blast,random-random,1768423599,1768424165,566,9m 26s,9.433333333333334
synthetic-blast-500-fphv8,498,Blast,random-random,1768424219,1768424783,564,9m 24s,9.4
synthetic-blast-500-fws9r,498,Blast,random-random,1768424843,1768425421,578,9m 38s,9.633333333333333
synthetic-blast-500-sm24s,498,Blast,random-random,1768425486,1768426055,569,9m 29s,9.483333333333333
synthetic-blast-500-5xdqh,498,Blast,random-roundrobin,1768448541,1768449117,576,9m 36s,9.6
synthetic-blast-500-cphwd,498,Blast,random-roundrobin,1768447920,1768448475,555,9m 15s,9.25
synthetic-blast-500-d4bxz,498,Blast,random-roundrobin,1768449825,1768450455,630,10m 30s,10.5
synthetic-blast-500-fb42j,498,Blast,random-roundrobin,1768450509,1768451088,579,9m 39s,9.65
synthetic-blast-500-kzhtk,498,Blast,random-roundrobin,1768449183,1768449758,575,9m 35s,9.583333333333334
synthetic-bwa-500-9mjj9,498,Bwa,fifo-fair,1768402305,1768402898,593,9m 53s,9.883333333333333
synthetic-bwa-500-cn498,498,Bwa,fifo-fair,1768402958,1768403543,585,9m 45s,9.75
synthetic-bwa-500-d8gqg,498,Bwa,fifo-fair,1768403589,1768404196,607,10m 7s,10.116666666666667
synthetic-bwa-500-r8p8z,498,Bwa,fifo-fair,1768400961,1768401585,624,10m 24s,10.4
synthetic-bwa-500-rr5hl,498,Bwa,fifo-fair,1768401633,1768402243,610,10m 10s,10.166666666666666
synthetic-bwa-500-5lb8m,498,Bwa,fifo-random,1768265318,1768265921,603,10m 3s,10.05
synthetic-bwa-500-bzf5h,498,Bwa,fifo-random,1768250393,1768251026,633,10m 33s,10.55
synthetic-bwa-500-clq5k,498,Bwa,fifo-random,1768251718,1768252312,594,9m 54s,9.9
